Star|n_Star|RAJ2000|DEJ2000|XSLID|MJD|ArmMissing|spU|spV|spN|FileUVB|FileVIS|FileNIR|Comments|SimbadName
HD 224926                | |00 01 49.450|-03 01 39.0|X0022|55112.9977|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0022_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0022_vis_nlc.fits|fits/xsl_spectrum_X0022_nir.fits        |                                                                                                                                                                                                        |HD 224926
HD 224926                | |00 01 49.450|-03 01 39.0|X0224|55410.3318|       |spU|spV|spN|fits/xsl_spectrum_X0224_uvb.fits        |fits/xsl_spectrum_X0224_vis.fits        |fits/xsl_spectrum_X0224_nir.fits        |                                                                                                                                                                                                        |HD 224926
HD 224926                | |00 01 49.450|-03 01 39.0|X0280|55457.2696|       |spU|spV|spN|fits/xsl_spectrum_X0280_uvb.fits        |fits/xsl_spectrum_X0280_vis.fits        |fits/xsl_spectrum_X0280_nir.fits        |                                                                                                                                                                                                        |HD 224926
HD 358                   | |00 08 23.260|+29 05 25.5|X0025|55113.0508|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0025_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0025_vis_nlc.fits|fits_nlc/xsl_spectrum_X0025_nir_nlc.fits|                                                                                                                                                                                                        |HD 358
HD 1638                  | |00 20 28.310|-30 33 19.8|X0023|55113.0113|       |spU|spV|spN|fits/xsl_spectrum_X0023_uvb.fits        |fits/xsl_spectrum_X0023_vis.fits        |fits/xsl_spectrum_X0023_nir.fits        |                                                                                                                                                                                                        |HD 1638
HD 1638                  | |00 20 28.310|-30 33 19.8|X0180|55407.3060|       |spU|spV|spN|fits/xsl_spectrum_X0180_uvb.fits        |fits/xsl_spectrum_X0180_vis.fits        |fits/xsl_spectrum_X0180_nir.fits        |                                                                                                                                                                                                        |HD 1638
HD 1638                  | |00 20 28.310|-30 33 19.8|X0258|55439.2991|       |spU|spV|spN|fits/xsl_spectrum_X0258_uvb.fits        |fits/xsl_spectrum_X0258_vis.fits        |fits/xsl_spectrum_X0258_nir.fits        |                                                                                                                                                                                                        |HD 1638
HD 1638                  | |00 20 28.310|-30 33 19.8|X0286|55461.3087|       |spU|spV|spN|fits/xsl_spectrum_X0286_uvb.fits        |fits/xsl_spectrum_X0286_vis.fits        |fits/xsl_spectrum_X0286_nir.fits        |                                                                                                                                                                                                        |HD 1638
CL* NGC 121 T V8         | |00 26 48.530|-71 32 50.4|X0385|56090.4024|       |spU|spV|spN|fits/xsl_spectrum_X0385_uvb.fits        |fits/xsl_spectrum_X0385_vis.fits        |fits/xsl_spectrum_X0385_nir.fits        |                                                                                                                                                                                                        |CL* NGC 121 T V8
CL* NGC 121 T V1         | |00 26 56.450|-71 32 07.6|X0411|56111.3234|       |spU|spV|spN|fits/xsl_spectrum_X0411_uvb.fits        |fits/xsl_spectrum_X0411_vis.fits        |fits/xsl_spectrum_X0411_nir.fits        |                                                                                                                                                                                                        |CL* NGC 121 T V1
HD 2796                  | |00 31 16.910|-16 47 40.7|X0418|56141.2573|       |spU|spV|spN|fits/xsl_spectrum_X0418_uvb.fits        |fits/xsl_spectrum_X0418_vis.fits        |fits/xsl_spectrum_X0418_nir.fits        |                                                                                                                                                                                                        |HD 2796
HD 2857                  | |00 31 53.790|-05 15 42.8|X0024|55113.0314|       |spU|spV|spN|fits/xsl_spectrum_X0024_uvb.fits        |fits/xsl_spectrum_X0024_vis.fits        |fits/xsl_spectrum_X0024_nir.fits        |                                                                                                                                                                                                        |HD 2857
SV* HV 11223             | |00 32 01.600|-73 22 34.8|X0420|56143.2740|       |spU|spV|spN|fits/xsl_spectrum_X0420_uvb.fits        |fits/xsl_spectrum_X0420_vis.fits        |fits/xsl_spectrum_X0420_nir.fits        |S-star signatures confirmed (ZrO at 940 nm; cf. Wood et al. 1983ApJ...272...99W)                                                                                                                        |SV* HV 11223
HD 3008                  | |00 33 14.310|-10 43 42.7|X0744|56485.4122|       |spU|spV|spN|fits/xsl_spectrum_X0744_uvb.fits        |fits/xsl_spectrum_X0744_vis.fits        |fits/xsl_spectrum_X0744_nir.fits        |                                                                                                                                                                                                        |HD 3008
HD 3883                  | |00 41 36.040|+24 37 44.4|X0747|56487.4232|       |spU|spV|spN|fits/xsl_spectrum_X0747_uvb.fits        |fits/xsl_spectrum_X0747_vis.fits        |fits/xsl_spectrum_X0747_nir.fits        |                                                                                                                                                                                                        |HD 3883
HD 4539                  | |00 47 29.220|+09 58 55.6|X0448|56149.4133|       |spU|spV|spN|fits/xsl_spectrum_X0448_uvb.fits        |fits/xsl_spectrum_X0448_vis.fits        |fits/xsl_spectrum_X0448_nir.fits        |                                                                                                                                                                                                        |HD 4539
HD 4539                  | |00 47 29.220|+09 58 55.6|X0463|56156.3695|       |spU|spV|spN|fits/xsl_spectrum_X0463_uvb.fits        |fits/xsl_spectrum_X0463_vis.fits        |fits/xsl_spectrum_X0463_nir.fits        |                                                                                                                                                                                                        |HD 4539
ISO-MCMS J004900.4-732224| |00 49 00.330|-73 22 23.8|X0001|55110.0748|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0001_uvb_nlc.fits|fits/xsl_spectrum_X0001_vis.fits        |fits_nlc/xsl_spectrum_X0001_nir_nlc.fits|                                                                                                                                                                                                        |ISO-MCMS J004900.4-732224
HD 4893                  | |00 49 22.580|-73 28 43.1|X0422|56143.3078|       |spU|spV|spN|fits/xsl_spectrum_X0422_uvb.fits        |fits/xsl_spectrum_X0422_vis.fits        |fits/xsl_spectrum_X0422_nir.fits        |                                                                                                                                                                                                        |HD 4893
ISO-MCMS J004932.4-731753| |00 49 32.630|-73 17 52.4|X0002|55110.0901|       |spU|spV|spN|fits/xsl_spectrum_X0002_uvb.fits        |fits/xsl_spectrum_X0002_vis.fits        |fits_nlc/xsl_spectrum_X0002_nir_nlc.fits|                                                                                                                                                                                                        |ISO-MCMS J004932.4-731753
ISO-MCMS J004950.3-731116| |00 49 50.130|-73 11 16.5|X0003|55110.1119|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0003_uvb_nlc.fits|fits/xsl_spectrum_X0003_vis.fits        |fits_nlc/xsl_spectrum_X0003_nir_nlc.fits|                                                                                                                                                                                                        |ISO-MCMS J004950.3-731116
HD 4813                  | |00 50 07.590|-10 38 39.5|X0096|55224.0638|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0096_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0096_vis_nlc.fits|fits/xsl_spectrum_X0096_nir.fits        |                                                                                                                                                                                                        |HD 4813
ISO-MCMS J005059.4-731914| |00 50 59.320|-73 19 13.4|X0009|55110.1855|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0009_uvb_nlc.fits|fits/xsl_spectrum_X0009_vis.fits        |fits_nlc/xsl_spectrum_X0009_nir_nlc.fits|                                                                                                                                                                                                        |ISO-MCMS J005059.4-731914
