 # | obj tags |obj count|               raw id                |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |     spec. type     |#bib |#not
1  |d         |        6|table:Star= HD 224926                |* 29 Psc                           |V* |00 01 49.4481127032 -03 01 39.011820024|B7III-IV            | 214 |   0
2  |d         |        2|table:Star= HD 358                   |* alf And                          |a2*|00 08 23.25988 +29 05 25.5520          |B8IV-VHgMn          | 457 |   0
3  |d         |        9|table:Star= HD 1638                  |HD 1638                            |*  |00 20 28.3131118560 -30 33 19.877390424|K1III               |  22 |   0
4  |d         |        2|table:Star= CL* NGC 121 T V8         |Cl* NGC 121 T V8                   |C* |00 26 48.5287453464 -71 32 50.474301576|C                   |  13 |   0
5  |d         |        1|NGC121                               |NGC 121                            |GlC|00 26 49.0 -71 32 10                   |~                   | 299 |   0
6  |d         |        2|table:Star= CL* NGC 121 T V1         |Cl* NGC 121 T V1                   |LP*|00 26 56.4524603880 -71 32 07.644788952|K5e                 |  12 |   0
7  |d         |        1|table:Star= HD 2796                  |HD 2796                            |Pe*|00 31 16.9147531152 -16 47 40.790991624|Fw                  | 188 |   0
8  |d         |        1|table:Star= HD 2857                  |HD 2857                            |HB*|00 31 53.7908406120 -05 15 42.870486708|A2IV                | 102 |   0
9  |d         |        2|table:Star= SV* HV 11223             |SV* HV 11223                       |AB*|00 32 01.5992780640 -73 22 34.804174836|M3Ia-Iab            |  28 |   0
10 |d         |        1|table:Star= HD 3008                  |V* CM Cet                          |LP?|00 33 14.3108581872 -10 43 42.728423844|G3/5V               |  94 |   0
11 |d         |        1|table:Star= HD 3883                  |HD 3883                            |** |00 41 36.0377718120 +24 37 44.448788316|kA5hF1mF2           | 118 |   0
12 |d         |        2|table:Star= HD 4539                  |HD 4539                            |HS*|00 47 29.2193758344 +09 58 55.690280832|sdB                 |  82 |   0
13 |d         |        1|table:Star= ISO-MCMS J004900.4-732224|BMB-B 16                           |C* |00 49 00.3236863704 -73 22 23.812144572|C                   |  15 |   0
14 |d         |        1|table:Star= HD 4893                  |HD 4893                            |*  |00 49 22.5838965624 -73 28 43.175436852|K2III               |  19 |   0
15 |d         |        1|table:Star= ISO-MCMS J004932.4-731753|BMB-B 30                           |C* |00 49 32.6328351456 -73 17 52.448699112|C                   |  25 |   0
16 |d         |        1|table:Star= ISO-MCMS J004950.3-731116|ISO-MCMS J004950.3-731116          |AB?|00 49 50.1367046904 -73 11 16.517326848|~                   |   6 |   0
17 |d         |        1|table:Star= HD 4813                  |* phi02 Cet                        |PM*|00 50 07.5889624710 -10 38 39.583852438|F7V                 | 256 |   0
18 |d         |        1|table:Star= ISO-MCMS J005059.4-731914|ISO-MCMS J005059.4-731914          |LP*|00 50 59.3278995480 -73 19 13.509208236|~                   |   7 |   0
